ich	I
Schade!	Too bad!
Äquivalent	the equivalent
Bratkartoffeln	the sauté potatoes (plural only)
einwandern	to immigrate
Begleittext	the accompanying text
Parkhaus	the multi-storey car parking
Erwartung	the expectation
Zusatzkrankenversicherung	the supplementary medical insurance (no plural)
Schinkenwurst	the ham sausage
inhaltlich	in terms of content
Massenprodukt	the mass-produced product
beizen	to stain wood (technical term)
baumlos	treeless
D-Zug	the express train (outdated term; equivalent to a present-day Regional Express)
Spülküche	the scullery
Fitnesscenter	the gym
Nikolaus	1. Saint Nicholas, 2. Saint Nicholas' Day  (no plural)
Buchdruck	the book printing
Bedienungsgeld	the service charge
Entschuldigung!	Excuse me!
Ärger	the annoyance, trouble (no plural)
Einkaufsgewohnheit	the shopping habit
Hallo!	Hello!
Vermieter	the landlord
Betriebspraktikum	the internship, the industrial placement
kaputtfahren	to drive into the ground
eislaufen	to ice skate
Adventskalender	the Advent calendar
Einfamilienhaus	the single-family house, a 'monoplex'
Glückwunschanzeige	the congratulatory ad
Überraschung	the surprise
Studiengang	the course of study
danklos	thankless
Arbeitserfahrung	the work experience
Klar!	Sure!
Frauenbeauftragte	the (female) women's advocate
Wahlfach	the optional subject (education)
süddeutsch	southern German (adj.)
S-Bahn	the city or suburban railway
sogenannt	so-called
auspfeifen	to boo, to hiss
geblümt	flowered
bestreuen	to sprinkle, to strew
Maschinenbaumechaniker	the machinist
Rockfest	the rock festival
U-Bahn	the underground tube, the metro
Gartenterrasse	the patio
Alltagszene	the everyday scene
Klassenkamerad	the classmate (at primary and secondary school)
Schwyzerdütsch	the Swiss German (no plural)
Autofähre	the car ferry
sonstig	other, miscellaneous
Weltkulturerbe	the world cultural heritage (no plural)
Reisescheck	the traveller's cheque
Aktie	the share (financial only)
Internetcafé	the internetcafé
Bierglas	the beer glass
ausverkaufen	to sell out
Prima!	Great! Cool! (1)
Altenheim	the old people's home
Stehlampe	the floor lamp
Übersetzung	the translation
Kanzlerin	the female chancellor
Badewetter	the swimming weather (no plural)
fensterlos	windowless
CD-Spieler	the CD-player
Bürokaufmann	the office clerk
restlich	residual, remaining
Betriebswirtschaft	the business studies (education)
bisherig	previous
Ärmel	the sleeve
Niederdeutsch	Lower German (North Germany) (no plural)
Landschaftsbild	the scenery (not theatre)
Elternzeit	the parental leave
Einbauküche	the built-in kitchen
